,Y0,Y1,Country,Label,Label5,Label10,Label15,Label20,Label25,Label30,Label35,Label40,Label45,Label50,Label6,Label7,Label8,Label9,Label11,Label12,Label13,Label14,Label16,Label17,Label18,Label19,Label21,Label22,Label23,Label24,Label26,Label27,Label28,Label29,Label31,Label32,Label33,Label34,Label36,Label37,Label38,Label39,Label41,Label42,Label43,Label44,Label46,Label47,Label48,Label49,Label51,Label52,Label53,Label54
162,14.61297,10.831727,Karelia (1950s-1956),8,1,3,2,8,6,4,6,0,24,10,2,1,0,6,6,4,8,2,15,9,9,13,8,3,7,5,25,7,2,5,15,21,8,10,25,18,9,29,4,26,35,2,40,1,37,47,37,50,48,9
163,14.465345,9.883171,Karelia,8,1,3,2,8,6,4,1,0,24,10,2,1,0,6,6,4,8,2,15,9,9,13,8,3,7,5,25,7,2,5,15,3,8,10,25,18,9,29,4,26,35,2,40,1,37,47,37,50,49,9
164,17.24581,-13.867889,Katanga,19,4,7,0,19,4,29,4,30,18,27,1,5,7,0,8,11,2,11,3,12,14,4,20,0,9,21,17,4,5,0,26,25,17,15,31,5,32,14,3,24,13,4,36,5,4,11,28,8,20,8
165,10.02487,0.6488983,Kazakhstan (1992-2006),0,4,4,9,0,9,15,11,25,2,20,1,4,5,5,9,3,6,0,1,14,5,17,14,6,22,22,4,1,1,13,1,19,4,23,15,36,6,3,39,25,30,21,43,12,0,15,50,3,17,45
166,10.83991,3.6797996,Kenya,0,4,4,9,16,21,15,11,8,2,23,1,1,0,6,9,3,0,12,1,14,0,17,1,15,20,15,4,1,17,13,1,3,4,23,15,36,6,3,39,25,30,21,43,30,0,25,22,31,17,6
167,9.0578785,17.190903,Kazakhstan,15,1,3,12,2,20,17,26,24,9,19,2,1,0,2,6,4,8,2,7,5,15,6,15,11,3,23,1,6,20,18,6,17,0,22,35,9,3,26,29,0,42,6,14,46,35,30,6,36,37,36
168,17.316647,-2.780423,Kenya (to 1963),11,4,7,9,11,15,25,29,11,7,37,1,5,5,5,1,1,6,5,9,10,8,8,3,6,10,22,5,11,8,8,5,6,30,5,2,10,10,17,10,30,10,20,20,9,45,32,44,15,41,21
169,10.244806,-5.898277,Kiribati,3,4,7,10,0,16,6,20,25,37,7,1,5,5,5,1,5,5,0,5,3,5,12,9,19,22,8,15,21,22,8,18,6,7,11,29,23,1,31,19,3,2,10,25,25,44,42,4,34,33,31
170,-2.512603,1.8705213,North Korea,6,0,5,11,13,0,0,7,14,27,15,5,4,2,8,0,6,9,7,10,4,16,1,10,7,14,3,8,20,16,14,4,9,6,1,16,0,2,28,26,19,6,24,18,2,30,41,35,40,38,7
171,-16.7259,7.507984,South Korea,18,0,8,5,5,2,26,5,21,19,41,3,0,6,1,7,0,4,1,6,8,4,3,11,10,0,9,2,2,6,21,7,5,21,28,11,14,0,12,8,23,5,37,1,19,33,1,17,33,2,4
172,5.860982,-17.633402,Korean Empire,10,2,0,13,12,13,3,34,19,31,39,4,6,7,0,8,11,10,4,4,6,2,0,12,20,4,0,22,5,21,20,30,27,2,2,4,24,21,22,31,17,19,34,24,8,34,40,42,44,50,32
173,-12.98804,4.431664,Kurdistan,2,0,5,1,1,10,26,5,35,11,30,3,0,6,1,7,0,9,7,8,16,13,5,2,13,5,6,2,17,0,1,0,14,21,14,14,22,25,0,35,23,12,15,8,22,33,28,40,45,46,24
174,-9.320545,9.4797535,Kuwait,13,0,5,1,1,8,23,2,6,0,8,3,0,6,1,3,7,9,6,8,16,3,5,2,5,5,6,19,22,0,1,11,28,24,14,14,26,16,0,32,36,32,26,32,4,5,9,25,42,9,48
175,16.552954,13.0042095,Kyrgyzstan (1946-1992),8,1,3,2,8,6,4,6,27,4,49,2,1,0,6,6,4,8,2,15,9,9,13,8,3,7,5,25,7,2,5,15,21,8,10,9,28,9,2,4,9,16,17,17,28,7,6,16,7,48,42
176,16.832342,10.487899,Kyrgyzstan,8,1,3,2,8,6,4,6,0,24,49,2,1,0,6,6,4,8,2,15,9,9,13,8,3,7,5,25,7,2,5,15,21,8,10,25,18,9,29,4,26,35,17,17,1,37,6,37,50,48,9
177,4.4363256,-16.434269,Laos,1,2,0,3,12,13,27,34,2,31,39,4,6,7,0,8,2,10,4,11,6,2,9,12,20,4,10,22,5,21,16,22,27,2,2,4,24,21,22,15,17,19,34,24,8,41,26,15,2,22,32
